Gene
CCN2
CCN1
H1-2
S100A4
IGFBP6
CTSC
FN1
CHI3L1
NMU
LGALS3
S100A1
HSPA1B
SFTPB
HSPA1A
SERPINA1
S100A10
KRT19
MET
DNAJB1
HSPE1
PLCG2
SQSTM1
HSPD1
HLA-DPA1
LRRK2
MAPK13
S100A14
FN1
CTSC
HSPA1B
HMGB2
IGFBP6
NMU
HSPA1A
PLCG2
STMN1
PASK
PPP1R7
